year,athlete_name,country,result,date
2001,2.37,,Vyacheslav VORONIN,05 APR 1974
2002,2.37,,Jacques FREITAG,11 JUN 1982
2003,2.36,,Stefan HOLM,25 MAY 1976
2004,2.37,,Stefan HOLM,25 MAY 1976
2005,2.40,,Stefan HOLM,25 MAY 1976
2006,2.37,,Yaroslav RYBAKOV,22 NOV 1980
2007,2.39,,Ivan UKHOV,29 MAR 1986
2008,2.38,,Yaroslav RYBAKOV,22 NOV 1980
2009,2.40,,Ivan UKHOV,29 MAR 1986
2010,2.38,,Ivan UKHOV,29 MAR 1986
2011,2.38,,Ivan UKHOV,29 MAR 1986
2012,2.39,,Ivan UKHOV,29 MAR 1986
2013,2.41,,Bohdan BONDARENKO,30 AUG 1989
2014,2.43,,Mutaz Essa BARSHIM,24 JUN 1991
2015,2.41,,Mutaz Essa BARSHIM,24 JUN 1991
2016,2.40,,Mutaz Essa BARSHIM,24 JUN 1991
2017,2.40,,Mutaz Essa BARSHIM,24 JUN 1991
2018,2.40,,Mutaz Essa BARSHIM,24 JUN 1991
2019,2.37,,Mutaz Essa BARSHIM,24 JUN 1991
2020,2.33,,Darryl SULLIVAN JR.,28 DEC 1997
2021,2.37,,Maksim NEDASEKAU,21 JAN 1998
2022,2.37,,Mutaz Essa BARSHIM,24 JUN 1991
2023,2.38,,Danil LYSENKO,19 MAY 1997
2024,2.37,,Gianmarco TAMBERI,01 JUN 1992
2001,2.04,,Venelina VENEVA-MATEEVA,13 JUN 1974
2002,2.05,,Kajsa BERGQVIST,12 OCT 1976
2003,2.06,,Kajsa BERGQVIST,12 OCT 1976
2004,2.06,,Yelena SLESARENKO,28 FEB 1982
2005,2.03,,Kajsa BERGQVIST,12 OCT 1976
2006,2.08,,Kajsa BERGQVIST,12 OCT 1976
2007,2.07,,Blanka VLAŠIĆ,08 NOV 1983
2008,2.06,,Blanka VLAŠIĆ,08 NOV 1983
2009,2.08,,Blanka VLAŠIĆ,08 NOV 1983
2010,2.06,,Blanka VLAŠIĆ,08 NOV 1983
2011,2.07,,Anna CHICHEROVA,22 JUL 1982
2012,2.06,,Anna CHICHEROVA,22 JUL 1982
2013,2.04,,Brigetta BARRETT,24 DEC 1990
2014,2.01,,Mariya KUCHINA,14 JAN 1993
2015,2.03,,Anna CHICHEROVA,22 JUL 1982
2016,2.01,,Chaunte LOWE,12 JAN 1984
2017,2.06,,Mariya LASITSKENE,14 JAN 1993
2018,2.04,,Mariya LASITSKENE,14 JAN 1993
2019,2.06,,Mariya LASITSKENE,14 JAN 1993
2020,2.05,,Mariya LASITSKENE,14 JAN 1993
2021,2.06,,Yaroslava MAHUCHIKH,19 SEP 2001
2022,2.05,,Yaroslava MAHUCHIKH,19 SEP 2001
2023,2.03,,Yaroslava MAHUCHIKH,19 SEP 2001
2024,2.10,,Yaroslava MAHUCHIKH,19 SEP 2001
2001,6.05,,Dmitri MARKOV,14 MAR 1975
2002,6.02,,Jeff HARTWIG,25 SEP 1967
2003,5.95,,Romain MESNIL,13 JUN 1977
2004,6.01,,Timothy MACK,15 SEP 1972
2005,6.00,,Paul BURGESS,14 AUG 1979
2006,6.00,,Brad WALKER,21 JUN 1981
2007,5.95,,Brad WALKER,21 JUN 1981
2008,6.04,,Brad WALKER,21 JUN 1981
2009,6.06,,Steven HOOKER,16 JUL 1982
2010,6.01,,Steven HOOKER,16 JUL 1982
2011,6.03,,Renaud LAVILLENIE,18 SEP 1986
2012,6.01,,Björn OTTO,16 OCT 1977
2013,6.02,,Renaud LAVILLENIE,18 SEP 1986
2014,6.16,,Renaud LAVILLENIE,18 SEP 1986
2015,6.05,,Renaud LAVILLENIE,18 SEP 1986
2016,6.03,,Renaud LAVILLENIE,18 SEP 1986
2017,6.00,,Piotr LISEK,16 AUG 1992
2018,6.05,,Armand DUPLANTIS,10 NOV 1999
2019,6.06,,Sam KENDRICKS,07 SEP 1992
2020,6.18,,Armand DUPLANTIS,10 NOV 1999
2021,6.10,,Armand DUPLANTIS,10 NOV 1999
2022,6.21,,Armand DUPLANTIS,10 NOV 1999
2023,6.23,,Armand DUPLANTIS,10 NOV 1999
2024,6.26,,Armand DUPLANTIS,10 NOV 1999
2001,4.81,,Stacy DRAGILA,25 MAR 1971
2002,4.78,,Svetlana FEOFANOVA,16 JUL 1980
2003,4.82,,Yelena ISINBAYEVA,03 JUN 1982
2004,4.92,,Yelena ISINBAYEVA,03 JUN 1982
2005,5.01,,Yelena ISINBAYEVA,03 JUN 1982
2006,4.91,,Yelena ISINBAYEVA,03 JUN 1982
2007,4.93,,Yelena ISINBAYEVA,03 JUN 1982
2008,5.05,,Yelena ISINBAYEVA,03 JUN 1982
2009,5.06,,Yelena ISINBAYEVA,03 JUN 1982
2010,4.89,,Jennifer SUHR,05 FEB 1982
2011,4.91,,Jennifer SUHR,05 FEB 1982
2012,5.01,,Yelena ISINBAYEVA,03 JUN 1982
2013,5.02,,Jennifer SUHR,05 FEB 1982
2014,4.80,,Fabiana MURER,16 MAR 1981
2015,4.91,,Yarisley SILVA,01 JUN 1987
2016,5.03,,Jennifer SUHR,05 FEB 1982
2017,4.91,,Aikaterini STEFANIDI,04 FEB 1990
2018,4.95,,Sandi MORRIS,08 JUL 1992
2019,4.95,,Anzhelika SIDOROVA,28 JUN 1991
2020,4.95,,Anzhelika SIDOROVA,28 JUN 1991
2021,5.01,,Anzhelika SIDOROVA,28 JUN 1991
2022,4.91,,Anzhelika SIDOROVA,28 JUN 1991
2023,4.91,,Nina KENNEDY,05 APR 1997
2024,4.92,,Molly CAUDERY,17 MAR 2000
2001,8.43,,Iván PEDROSO,17 DEC 1972
2002,8.59,,Miguel PATE,13 JUN 1979
2003,8.53,+1.3,Yago LAMELA,24 JUL 1977
2004,8.60,+0.5,Dwight PHILLIPS,01 OCT 1977
2005,8.60,+1.6,Dwight PHILLIPS,01 OCT 1977
2006,8.56,+1.6,Irving SALADINO,23 JAN 1983
2007,8.66,+1.6,Louis TSATOUMAS,12 FEB 1982
2008,8.73,+1.2,Irving SALADINO,23 JAN 1983
2009,8.74,-1.2,Dwight PHILLIPS,01 OCT 1977
2010,8.47,+1.6,Christian REIF,24 OCT 1984
2011,8.54,+1.7,Mitchell WATT,25 MAR 1988
2012,8.35,+2.0,Greg RUTHERFORD,17 NOV 1986
2013,8.56,+0.2,Aleksandr MENKOV,07 DEC 1990
2014,8.51,+1.7,Greg RUTHERFORD,17 NOV 1986
2015,8.52,+1.8,Jeff HENDERSON,19 FEB 1989
2016,8.58,+1.8,Jarrion LAWSON,06 MAY 1994
2017,8.65,+1.3,Luvo MANYONGA,08 JAN 1991
2018,8.68,+1.7,Juan Miguel ECHEVARRÍA,11 AUG 1998
2019,8.69,+0.5,Tajay GAYLE,02 AUG 1996
2020,8.41,,Juan Miguel ECHEVARRÍA,11 AUG 1998
2021,8.60,+0.7,Miltiadis TENTOGLOU,18 MAR 1998
2022,8.55,,Miltiadis TENTOGLOU,18 MAR 1998
2023,8.54,+1.2,Wayne PINNOCK,24 OCT 2000
2024,8.65,-0.3,Miltiadis TENTOGLOU,18 MAR 1998
2001,7.12,+0.5,Tatyana KOTOVA,11 DEC 1976
2002,7.42,+2.0,Tatyana KOTOVA,11 DEC 1976
2003,7.06,+0.8,Maurren Higa MAGGI,25 JUN 1976
2004,7.33,+0.4,Tatyana LEBEDEVA,21 JUL 1976
2005,7.04,+1.2,Irina MELESHINA,25 MAY 1982
2006,7.11,+0.1,Lyudmila KOLCHANOVA,01 OCT 1979
2007,7.21,+1.9,Lyudmila KOLCHANOVA,01 OCT 1979
2008,7.12,+1.3,Naide GOMES,20 NOV 1979
2009,7.10,+1.0,Brittney REESE,09 SEP 1986
2010,7.13,+2.0,Olga KUCHERENKO,05 NOV 1985
2011,7.19,+1.8,Brittney REESE,09 SEP 1986
2012,7.23,,Brittney REESE,09 SEP 1986
2013,7.25,+1.6,Brittney REESE,09 SEP 1986
2014,7.02,+0.1,Tianna BARTOLETTA,30 AUG 1985
2015,7.14,+1.2,Tianna BARTOLETTA,30 AUG 1985
2016,7.31,+1.7,Brittney REESE,09 SEP 1986
2017,7.24,,Ivana ŠPANOVIĆ,10 MAY 1990
2018,7.05,+1.2,Lorraine UGEN,22 AUG 1991
2019,7.30,-0.8,Malaika MIHAMBO,03 FEB 1994
2020,7.07,,Malaika MIHAMBO,03 FEB 1994
2021,7.17,+1.1,Ese BRUME,20 JAN 1996
2022,7.13,+1.8,Brooke BUSCHKUEHL,12 JUL 1993
2023,7.14,+1.2,Ivana VULETA,10 MAY 1990
2024,7.22,-1.4,Malaika MIHAMBO,03 FEB 1994
2001,17.92,+0.7,Jonathan EDWARDS,10 MAY 1966
2002,17.86,+0.7,Jonathan EDWARDS,10 MAY 1966
2003,17.77,+1.6,Christian OLSSON,25 JAN 1980
2004,17.83,,Christian OLSSON,25 JAN 1980
2005,17.81,+1.0,Marian OPREA,06 JUN 1982
2006,17.74,,Marian OPREA,06 JUN 1982
2007,17.90,+0.4,Jadel GREGÓRIO,16 SEP 1980
2008,17.75,,Phillips IDOWU,30 DEC 1978
2009,17.73,0.0,Phillips IDOWU,30 DEC 1978
2010,17.98,+1.2,Teddy TAMGHO,15 JUN 1989
2011,17.96,+0.1,Christian TAYLOR,18 JUN 1990
2012,17.81,+0.6,Christian TAYLOR,18 JUN 1990
2013,18.04,+0.3,Teddy TAMGHO,15 JUN 1989
2014,17.76,-0.2,Pedro PICHARDO,30 JUN 1993
2015,18.21,+0.2,Christian TAYLOR,18 JUN 1990
2016,17.86,+0.7,Christian TAYLOR,18 JUN 1990
2017,18.11,+0.8,Christian TAYLOR,18 JUN 1990
2018,17.95,+0.6,Pedro PICHARDO,30 JUN 1993
2019,18.14,+0.4,Will CLAYE,13 JUN 1991
2020,17.77,,Hugues Fabrice ZANGO,25 JUN 1993
2021,18.07,,Hugues Fabrice ZANGO,25 JUN 1993
2022,17.95,+0.3,Pedro PICHARDO,30 JUN 1993
2023,17.87,+1.3,Jaydon HIBBERT,17 JAN 2005
2024,18.18,-0.3,Jordan Alejandro DÍAZ FORTUN,23 FEB 2001
2001,15.25,-0.8,Tatyana LEBEDEVA,21 JUL 1976
2002,14.95,+1.1,Francoise MBANGO ETONE,14 APR 1976
2003,15.29,+0.3,Yamilé ALDAMA,14 AUG 1972
2004,15.36,,Tatyana LEBEDEVA,21 JUL 1976
2005,15.11,-0.2,Tatyana LEBEDEVA,21 JUL 1976
2006,15.23,+0.6,Tatyana LEBEDEVA,21 JUL 1976
2007,15.28,+0.9,Yargelis SAVIGNE,13 NOV 1984
2008,15.39,+0.5,Francoise MBANGO ETONE,14 APR 1976
2009,15.14,+1.9,Nadezhda ALYOKHINA,22 SEP 1978
2010,15.25,+1.7,Olga RYPAKOVA,30 NOV 1984
2011,14.99,-0.1,Yargelis SAVIGNE,13 NOV 1984
2012,14.99,+0.2,Olha SALADUKHA,04 JUN 1983
2013,14.88,,Olha SALADUKHA,04 JUN 1983
2014,15.31,0.0,Caterine IBARGUEN,12 FEB 1984
2015,15.04,+1.7,Yekaterina KONEVA,25 SEP 1988
2016,15.17,+0.4,Caterine IBARGUEN,12 FEB 1984
2017,14.96,-0.3,Yulimar ROJAS,21 OCT 1995
2018,14.96,+0.1,Caterine IBARGUEN,12 FEB 1984
2019,15.41,+1.5,Yulimar ROJAS,21 OCT 1995
2020,15.43,,Yulimar ROJAS,21 OCT 1995
2021,15.67,+0.7,Yulimar ROJAS,21 OCT 1995
2022,15.74,,Yulimar ROJAS,21 OCT 1995
2023,15.35,+1.2,Yulimar ROJAS,21 OCT 1995
2024,15.02,-0.4,Thea LAFOND,05 APR 1994
